a_volt,b_volt,c_volt,a_current,b_current,c_current
242.283,-243.597,75.6296,504,-1247,1632
242.253,-243.597,79.7184,532,-1227,1615
242.283,-243.597,83.7999,559,-1204,1597
242.068,-243.597,87.8741,585,-1178,1577
239.643,-243.597,91.9187,611,-1156,1556
236.456,-243.597,95.9632,636,-1131,1535
233.506,-243.597,99.9931,661,-1107,1516
230.341,-243.597,104.001,690,-1085,1496
227.28,-243.597,108.008,717,-1059,1476
224.093,-243.597,111.987,742,-1035,1457
220.914,-243.597,115.935,767,-1011,1434
217.697,-243.597,119.884,791,-986,1413
214.444,-243.597,123.825,816,-961,1391
211.176,-243.597,127.737,841,-937,1369
207.833,-243.597,131.627,867,-912,1348
204.499,-243.597,135.494,895,-886,1326
201.112,-243.597,139.339,920,-861,1305
197.696,-243.597,143.177,945,-835,1283
194.258,-243.597,146.986,968,-809,1259
190.783,-243.597,150.779,992,-784,1237
187.285,-243.597,154.544,1017,-759,1214
183.773,-243.597,158.271,1040,-735,1190
180.202,-243.597,162.005,1066,-708,1169
176.615,-243.597,165.71,1090,-681,1145
173.015,-243.597,169.379,1114,-655,1119
169.362,-243.597,173.025,1136,-626,1096
165.709,-243.597,176.619,1159,-601,1073
162.027,-243.597,180.206,1182,-575,1048
158.308,-243.597,183.771,1205,-549,1023
154.574,-243.597,187.306,1229,-523,1000
150.817,-243.597,190.819,1252,-494,976
147.024,-243.597,194.303,1272,-468,950
143.216,-243.597,197.742,1297,-442,926
139.394,-243.597,201.13,1319,-415,902
135.541,-243.597,204.525,1339,-389,874
131.682,-243.597,207.876,1362,-361,848
127.8,-243.597,211.22,1384,-335,825
123.881,-243.597,214.511,1407,-309,800
119.962,-243.597,217.796,1427,-282,775
116.013,-243.597,221.021,1448,-255,749
112.043,-243.597,224.209,1468,-226,721
108.065,-243.597,227.361,1487,-200,696
104.072,-243.597,230.461,1507,-174,670
100.064,-243.597,233.627,1528,-145,643
96.0494,-243.597,236.579,1549,-121,618
92.0122,-243.597,239.797,1568,-96,591
87.9454,-243.597,241.834,1587,-67,566
83.8787,-243.597,241.842,1605,-44,539
79.8119,-243.597,241.834,1624,-21,511
75.7156,-243.597,241.842,1643,3,485
71.6045,-243.597,241.827,1662,27,459
67.5155,-243.597,241.842,1681,54,433
63.3822,-243.597,241.834,1699,88,407
59.2341,-243.597,241.842,1716,130,380
55.1008,-243.597,241.842,1733,171,354
50.9454,-243.597,241.842,1748,204,326
46.7899,-243.597,241.842,1764,227,298
42.6196,-243.597,241.842,1784,243,273
38.4567,-243.597,241.842,1798,264,245
34.2717,-243.597,241.842,1814,292,218
30.094,-243.597,241.842,1831,321,193
25.9163,-243.597,241.842,1844,351,165
21.7165,-243.597,241.842,1860,379,139
17.5166,-243.597,241.842,1876,406,114
13.3168,-243.597,241.842,1891,431,89
9.13171,-243.597,241.842,1904,457,66
4.90968,-243.597,241.842,1919,485,43
0.695045,-243.597,241.842,1936,513,20
-3.49002,-243.597,241.842,1946,542,-5
-7.71205,-243.597,241.842,1959,567,-36
-11.8897,-243.597,241.842,1972,594,-78
-16.06,-243.597,241.842,1983,618,-129
-20.2746,-243.597,241.842,1997,645,-169
-24.4745,-243.597,241.842,2009,674,-187
-28.6521,-243.597,241.842,2020,697,-199
-32.8224,-243.597,241.842,2031,725,-218
-36.9927,-243.597,241.842,2042,751,-246
-41.1777,-243.597,241.842,2052,775,-280
-45.348,-243.597,241.842,2062,801,-309
-49.5035,-243.597,241.842,2072,825,-335
-53.659,-243.597,241.842,2084,855,-361
-57.7849,-243.597,241.842,2096,879,-385
-61.9108,-243.59,241.842,2103,903,-413
-66.0367,-243.597,241.842,2110,931,-442
-70.1626,-243.597,241.842,2119,951,-469
-74.2516,-243.597,241.842,2127,977,-496
-78.3405,-243.597,241.842,2137,1003,-522
-82.4442,-243.56,241.842,2143,1028,-548
-86.511,-243.597,241.842,2150,1052,-575
-90.5851,-242.147,241.842,2157,1075,-602
-94.6223,-238.981,241.842,2163,1100,-628
-98.6373,-235.985,241.842,2169,1123,-655
-102.66,-232.862,241.842,2173,1147,-682
-106.638,-229.733,241.842,2181,1169,-706
-110.638,-226.588,241.842,2188,1192,-731
-114.609,-223.369,241.842,2192,1217,-759
-118.542,-220.165,241.842,2197,1242,-784
-122.491,-216.879,241.842,2201,1265,-809
-126.402,-213.623,241.842,2204,1282,-835
-130.284,-210.285,241.842,2208,1307,-860
-134.159,-206.918,241.842,2212,1330,-885
-138.026,-203.52,241.842,2216,1351,-909
-141.863,-200.093,241.842,2218,1373,-935
-145.671,-196.644,241.842,2220,1393,-960
-149.464,-193.172,241.842,2221,1417,-985
-153.228,-189.723,241.842,2220,1436,-1011
-156.969,-186.222,241.842,2222,1458,-1034
-160.674,-182.661,241.842,2225,1482,-1058
-164.378,-179.025,241.842,2225,1500,-1083
-168.061,-175.375,241.842,2226,1519,-1105
-171.713,-171.74,241.842,2227,1540,-1129
-175.336,-168.09,241.842,2224,1559,-1155
-178.922,-164.388,241.842,2224,1579,-1177
-182.501,-160.663,241.842,2224,1598,-1199
-186.028,-156.894,241.842,2223,1616,-1222
-189.526,-153.059,241.842,2221,1636,-1244
-193.03,-149.2,241.842,2221,1656,-1267
-196.498,-145.349,241.842,2217,1674,-1291
-199.914,-141.528,241.842,2213,1692,-1313
-203.308,-137.722,241.842,2210,1708,-1335
-206.673,-133.871,241.842,2206,1727,-1358
-210.015,-129.969,241.842,2204,1744,-1378
-213.305,-126.021,241.842,2200,1760,-1401
-216.566,-122.029,241.842,2196,1779,-1420
-219.827,-118.052,241.842,2190,1794,-1442
-223.013,-114.082,241.842,2183,1810,-1465
-226.208,-110.105,241.842,2178,1826,-1485
-229.298,-106.105,241.842,2172,1841,-1505
-232.456,-102.076,241.842,2167,1856,-1524
-235.473,-98.0321,241.842,2161,1871,-1543
-238.534,-93.9583,241.842,2155,1887,-1563
-241.514,-89.877,241.842,2149,1902,-1582
-242.29,-85.7883,241.842,2140,1916,-1601
-242.231,-81.6996,241.842,2132,1932,-1623
-242.29,-77.5886,241.842,2124,1943,-1640
-242.275,-73.4627,241.842,2116,1955,-1658
-242.29,-69.3369,241.842,2108,1970,-1677
-242.29,-65.1813,241.842,2099,1982,-1693
-242.29,-61.0182,241.842,2089,1995,-1712
-242.29,-56.8626,241.842,2079,2008,-1730
-242.29,-52.707,241.842,2069,2020,-1748
-242.29,-48.5142,241.842,2058,2031,-1765
-242.29,-44.3215,241.842,2048,2041,-1781
-242.29,-40.1287,241.842,2037,2051,-1797
-242.29,-35.9211,241.842,2028,2063,-1812
-242.29,-31.7134,241.842,2015,2075,-1829
-242.29,-27.5206,241.842,2003,2085,-1844
-242.29,-23.3056,241.842,1995,2094,-1859
-242.29,-19.0682,241.842,1980,2102,-1875
-242.29,-14.8531,241.842,1966,2111,-1889
-242.29,-10.638,241.842,1957,2121,-1902
-242.29,-6.4081,241.842,1942,2129,-1917
-242.29,-2.18559,241.842,1928,2138,-1932
-242.29,2.04435,241.842,1914,2145,-1945
-242.29,6.26686,241.842,1898,2152,-1959
-242.29,10.4894,241.842,1884,2161,-1972
-242.29,14.7193,241.842,1871,2167,-1985
-242.29,18.9344,241.842,1858,2174,-1996
-242.29,23.1569,241.842,1841,2181,-2007
-242.29,27.3794,241.842,1824,2186,-2019
-242.29,31.5722,241.842,1810,2191,-2031
-242.29,35.7798,241.842,1793,2197,-2044
-242.29,39.9875,241.842,1777,2200,-2054
-242.29,44.1728,241.842,1761,2203,-2063
-242.29,48.3581,241.842,1745,2210,-2073
-242.29,52.536,241.842,1727,2214,-2083
-242.29,56.7065,241.842,1708,2217,-2093
-242.29,60.8695,241.842,1692,2221,-2102
-242.29,65.0326,241.834,1673,2223,-2113
-242.29,69.1733,241.842,1653,2225,-2123
-242.29,73.2992,241.82,1636,2228,-2130
-242.29,77.4176,241.842,1619,2230,-2136
-242.29,81.536,241.805,1601,2231,-2143
-242.29,85.6322,241.842,1581,2234,-2152
-242.29,89.7134,241.502,1561,2233,-2159
-242.29,93.8021,238.949,1540,2233,-2166
-242.29,97.8537,235.768,1522,2233,-2172
-242.29,101.883,232.786,1505,2231,-2177
-242.29,105.927,229.642,1482,2232,-2184
-242.29,109.941,226.549,1462,2232,-2188
-242.29,113.941,223.353,1441,2231,-2194
-242.29,117.918,220.158,1418,2230,-2199
-242.29,121.88,216.91,1397,2226,-2203
-242.29,125.828,213.648,1375,2224,-2209
-242.29,129.745,210.349,1358,2223,-2211
-242.29,133.641,207.005,1334,2219,-2215
-242.29,137.529,203.64,1311,2216,-2217
-242.29,141.387,200.245,1294,2213,-2218
-242.29,145.245,196.849,1266,2209,-2224
-242.29,149.066,193.388,1243,2205,-2226
-242.29,152.858,189.889,1223,2199,-2227
-242.29,156.634,186.369,1200,2195,-2228
-242.29,160.374,182.826,1177,2189,-2229
-242.29,164.113,179.276,1153,2184,-2229
-242.29,167.83,175.674,1130,2179,-2230
-242.29,171.495,172.058,1104,2173,-2232
-242.29,175.145,168.419,1080,2166,-2232
-242.29,178.773,164.744,1057,2159,-2231
-242.29,182.378,161.031,1031,2153,-2230
-242.29,185.939,157.319,1008,2144,-2229
-242.29,189.478,153.569,987,2138,-2225
-242.29,192.994,149.783,962,2130,-2223
-242.29,196.495,146.004,932,2120,-2225
-242.29,199.937,142.188,909,2111,-2220
-242.29,203.357,138.35,886,2101,-2216
-242.29,206.762,134.49,860,2092,-2213
-242.29,210.122,130.608,837,2082,-2209
-242.29,213.467,126.718,810,2073,-2205
-242.29,216.746,122.799,786,2063,-2200
-242.29,220.031,118.865,759,2050,-2198
-242.29,223.25,114.902,731,2041,-2193
-242.29,226.462,110.924,711,2031,-2184
-242.29,229.614,106.953,683,2016,-2180
-242.29,232.751,102.945,656,2005,-2176
-242.29,235.873,98.9303,631,1994,-2167
-242.29,238.877,94.9004,605,1982,-2160
-242.29,242.051,90.8485,579,1970,-2155
-242.29,243.59,86.7965,550,1957,-2148
-242.29,243.56,82.7224,523,1942,-2140
-242.29,243.59,78.6335,497,1928,-2133
-242.29,243.59,74.5298,471,1914,-2124
-242.29,243.59,70.4262,447,1900,-2114
-242.29,243.59,66.3078,420,1885,-2106
-242.29,243.582,62.1746,392,1872,-2098
-242.29,243.59,58.0341,366,1856,-2087
-242.29,243.59,53.9009,339,1839,-2078
-242.29,243.59,49.7382,312,1824,-2069
-242.29,243.59,45.5608,287,1808,-2056
-242.29,243.59,41.3981,261,1791,-2045
-242.29,243.59,37.2206,234,1775,-2036
-242.29,243.59,33.0358,207,1760,-2024
-242.29,243.59,28.8436,178,1743,-2012
-242.29,243.59,24.6514,153,1724,-2001
-242.29,243.59,20.4592,128,1706,-1989
-242.29,243.59,16.267,104,1689,-1975
-242.29,243.59,12.06,80,1672,-1962
-242.29,243.59,7.8604,55,1654,-1949
-242.29,243.59,3.65342,32,1635,-1935
-242.29,243.59,-0.56093,6,1614,-1923
-242.29,243.59,-4.75314,-23,1594,-1908
-242.29,243.59,-8.95273,-60,1576,-1893
-242.29,243.59,-13.1449,-104,1556,-1880
-242.29,243.59,-17.3372,-144,1538,-1865
-242.29,243.59,-21.5367,-171,1518,-1849
-242.29,243.59,-25.7363,-186,1498,-1832
-242.29,243.59,-29.9285,-204,1478,-1817
-242.29,243.59,-34.106,-231,1455,-1803
-242.29,243.59,-38.2834,-262,1435,-1787
-242.29,243.59,-42.4535,-291,1416,-1770
-242.29,243.59,-46.6236,-317,1393,-1751
-242.29,243.59,-50.7863,-343,1371,-1735
-242.29,243.59,-54.9416,-369,1350,-1718
-242.29,243.59,-59.0895,-398,1327,-1701
-242.275,243.59,-63.2301,-426,1305,-1685
-242.29,243.59,-67.3411,-450,1281,-1663
-242.268,243.59,-71.4521,-478,1259,-1645
-242.29,243.59,-75.5557,-504,1238,-1627
-242.268,243.59,-79.652,-531,1215,-1608
-242.29,243.59,-83.763,-558,1193,-1591
-242.164,243.59,-87.8372,-584,1169,-1570
-239.857,243.59,-91.8744,-611,1145,-1551
